title,product_link,price,rating,review_count,delivery,stock_status,sponsored
Apple,https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-19%E2%80%91core/dp/B0BSHF7LLL,N/A,4.7,421,Energy efficiency,In Stock,False
Pre-owned Certified: Electronics,https://www.amazon.com/Apple-MacBook-16-Inch-Storage-2-6GHz/dp/B08CZT64VP,N/A,4.1,171,Pre-owned,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-12%E2%80%91core-16%E2%80%91core/dp/B0DM6ZP92H,N/A,4.8,154,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-10%E2%80%91core-16%E2%80%91core/dp/B0BSHDVBXZ,N/A,4.7,611,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-8%E2%80%91core-10%E2%80%91core/dp/B0CM5JLWJK,N/A,4.6,529,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNR92C1W,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Laptop-11%E2%80%91core-14%E2%80%91core/dp/B0CM5JV26D,N/A,4.7,687,Energy efficiency,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-Display-12-Core-18-Core/dp/B0CPN4WL82,N/A,5.0,2,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR7SZ88,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRJHZ55,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-14-Core-20-Core/dp/B0DNR9BDDS,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-2024-MacBook-15-inch-Laptop/dp/B0CX23P36M,N/A,4.8,75,Energy efficiency,In Stock,False
Pre-owned Certified: Electronics,https://www.amazon.com/Apple-MacBook-2-6GHz-9th-gen-processor/dp/B07XJZDDC5,N/A,3.9,20,Pre-owned,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-2024-16-Core-40-Core-Standard/dp/B0DNRCC4M6,N/A,N/A,0,N/A,In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CRJ1FSKS,N/A,5.0,1,N/A,In Stock,False
N/A,https://www.amazon.com/Apple-MacBook-14-inch-10%E2%80%91core-16%E2%80%91core/dp/B09JQWSQK7,N/A,4.7,2164,N/A,In Stock,False
N/A,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTg5MDQ5NjcyMTUwOTk6MTczNTg2MzEwNTpzcF9hdGZfbmV4dDoyMDAwOTc2MDI5NDgyOTg6OjA6Og&url=%2FMac-Book-Pro-Charger-Compatible%2Fdp%2FB0B3DNW8D8%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.d50QlP2Ch72TvQTjNnTftnqLfMZnYGZnCZg6SilKfnVrr8ALqAN-0VJW_UvLIhMYwlk8AZSwvXbJ26hmj0man_gw1WMDy7dH4bm-boRcWaNVyv1fSZxrRe21riIJCHcqi_pr-qZYVamhVUxLUCTDlp4PRx2ygQ4cgQ1682aI04D2AuD30nI0Bkiu6VgY4uOUOJLA4FNqWbP741SSoYNNqDQNx-CnKjQHs6P2e2o7aiM.wMVdvtp0IkKwXtkVC5qtBWeflVzLpajvLwPE3QS-quA%26dib_tag%3Dse%26keywords%3DMacbook%2BPro%26qid%3D1735863105%26sr%3D8-17-spons%26xpid%3DeEs_xTX1C_JI6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DARVE8NURNIMMR,$27.99,4.6,1800,"Delivery Wed, Jan 15",In Stock,False
UGREEN,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyOTg5MDQ5NjcyMTUwOTk6MTczNTg2MzEwNTpzcF9hdGZfbmV4dDozMDA0NDIyNjAwMTAxMDI6OjA6Og&url=%2FUGREEN-Compatible-Notebook-Adjustable-Ergonomic%2Fdp%2FB0D3WT12Y8%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.d50QlP2Ch72TvQTjNnTftnqLfMZnYGZnCZg6SilKfnVrr8ALqAN-0VJW_UvLIhMYwlk8AZSwvXbJ26hmj0man_gw1WMDy7dH4bm-boRcWaNVyv1fSZxrRe21riIJCHcqi_pr-qZYVamhVUxLUCTDlp4PRx2ygQ4cgQ1682aI04D2AuD30nI0Bkiu6VgY4uOUOJLA4FNqWbP741SSoYNNqDQNx-CnKjQHs6P2e2o7aiM.wMVdvtp0IkKwXtkVC5qtBWeflVzLpajvLwPE3QS-quA%26dib_tag%3Dse%26keywords%3DMacbook%2BPro%26qid%3D1735863105%26sr%3D8-18-spons%26xpid%3DeEs_xTX1C_JI6%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,$36.99,4.4,69,"Delivery Wed, Jan 15",In Stock,False
Apple,https://www.amazon.com/Apple-MacBook-16-2-Chip-Late/dp/B0CQSX7R4V,N/A,N/A,0,N/A,In Stock,False
SAMSUNG,https://www.amazon.com/SAMSUNG-Processor-Touchscreen-NP940XGK-KG1US-Moonstone/dp/B0CQ3RRS23,"$1,149.99",4.1,136,"Delivery Fri, Jan 17",In Stock,False
